id,sobrenome,nome,barreiras,barreiras.outros,facilitadores,facilitadores.outros,projeto.implementado,faixa.etaria,alunos.part.des,meto.acordo.curso
-,-,Usuário anônimo,Uso de substâncias por familiares,,Estímulo aos alunos,,Sim,entre 14 e 18 anos,Sim,Sim
-,-,Usuário anônimo,"Ausência da família
Uso de substâncias por familiares
Proximidade da rede de distribuição de drogas",,"Desenvolvimento de projetos na escola
Apoio aos projetos em desenvolvimento
Presença de regras no ambiente escolar
Respeito na relação professor-aluno
Promoção de compromisso e confiança
Valorização do ambiente escolar",,Sim,entre 10 e 14 anos,Sim,Sim
-,-,Usuário anônimo,"Pouca comunicação com os pais
Proximidade da rede de distribuição de drogas
Ausência de regras no ambiente escolar",,"Possuir alunos interessados na temática
Presença de uma equipe para trabalhar a temática
Estímulo aos alunos
Desenvolvimento de projetos na escola
Promoção de compromisso e confiança",,Sim,entre 14 e 18 anos,Sim,Sim
-,-,Usuário anônimo,Ausência da família,,"Relação saudável entre aluno-família-escola-comunidade
Desenvolvimento de projetos na escola
Apoio aos projetos em desenvolvimento
Respeito na relação professor-aluno
Promoção de compromisso e confiança
Valorização do ambiente escolar",,,entre 14 e 18 anos,Sim,Sim
-,-,Usuário anônimo,"Ausência da família
Pouca comunicação com os pais
Uso de substâncias por familiares
Proximidade da rede de distribuição de drogas
Ausência de limites dos alunos",,"Possuir alunos interessados na temática
Presença de uma equipe para trabalhar a temática
Estímulo aos alunos
Relação saudável entre aluno-família-escola-comunidade
Desenvolvimento de projetos na escola
Apoio aos projetos em desenvolvimento
Respeito na relação professor-aluno
Promoção de compromisso e confiança
Valorização do ambiente escolar",,Sim,entre 14 e 18 anos,Sim,Sim
-,-,Usuário anônimo,"Ausência de limites dos alunos
Ausência de colaboração da equipe escolar",,"Possuir alunos interessados na temática
Respeito na relação professor-aluno",,Sim,"entre 10 e 14 anos
entre 14 e 18 anos",Sim,Sim
-,-,Usuário anônimo,"Ausência da família
Pouca comunicação com os pais
Uso de substâncias por familiares
Presença de drogas ilícitas no ambiente escolar
Proximidade da rede de distribuição de drogas
Ausência de limites dos alunos
Ausência dos alunos na escola
Ausência de colaboração da equipe escolar
Ausência de regras no ambiente escolar",,"Possuir alunos interessados na temática
Presença de uma equipe para trabalhar a temática
Estímulo aos alunos
Relação saudável entre aluno-família-escola-comunidade
Desenvolvimento de projetos na escola
Apoio aos projetos em desenvolvimento
Presença de regras no ambiente escolar
Respeito na relação professor-aluno
Promoção de compromisso e confiança
Valorização do ambiente escolar
Participação da comunidade e dos pais no trabalho de prevenção",,Sim,"entre 6 e 8 anos
entre 8 e 10 anos
entre 10 e 14 anos",Sim,Sim
-,-,Usuário anônimo,"Ausência da família
Pouca comunicação com os pais
Uso de substâncias por familiares
Presença de drogas ilícitas no ambiente escolar
Proximidade da rede de distribuição de drogas
Ausência de limites dos alunos
Ausência dos alunos na escola
Ausência de colaboração da equipe escolar
Ausência de regras no ambiente escolar",,"Possuir alunos interessados na temática
Presença de uma equipe para trabalhar a temática
Estímulo aos alunos
Relação saudável entre aluno-família-escola-comunidade
Desenvolvimento de projetos na escola
Apoio aos projetos em desenvolvimento
Presença de regras no ambiente escolar
Respeito na relação professor-aluno
Promoção de compromisso e confiança
Valorização do ambiente escolar
Participação da comunidade e dos pais no trabalho de prevenção",,Sim,"entre 6 e 8 anos
entre 8 e 10 anos
entre 10 e 14 anos",Sim,Sim
-,-,Usuário anônimo,"Ausência da família
Pouca comunicação com os pais
Uso de substâncias por familiares
Presença de drogas ilícitas no ambiente escolar
Proximidade da rede de distribuição de drogas
Ausência de limites dos alunos
Ausência dos alunos na escola
Ausência de colaboração da equipe escolar
Ausência de regras no ambiente escolar",,"Possuir alunos interessados na temática
Presença de uma equipe para trabalhar a temática
Estímulo aos alunos
Relação saudável entre aluno-família-escola-comunidade
Desenvolvimento de projetos na escola
Apoio aos projetos em desenvolvimento
Presença de regras no ambiente escolar
Respeito na relação professor-aluno
Promoção de compromisso e confiança
Valorização do ambiente escolar
Participação da comunidade e dos pais no trabalho de prevenção",,Sim,"entre 6 e 8 anos
entre 8 e 10 anos
entre 10 e 14 anos",Sim,Sim
-,-,Usuário anônimo,"Ausência da família
Pouca comunicação com os pais
Uso de substâncias por familiares
Presença de drogas ilícitas no ambiente escolar
Proximidade da rede de distribuição de drogas
Ausência de limites dos alunos
Ausência dos alunos na escola
Ausência de colaboração da equipe escolar
Ausência de regras no ambiente escolar",,"Possuir alunos interessados na temática
Presença de uma equipe para trabalhar a temática
Estímulo aos alunos
Relação saudável entre aluno-família-escola-comunidade
Desenvolvimento de projetos na escola
Apoio aos projetos em desenvolvimento
Presença de regras no ambiente escolar
Respeito na relação professor-aluno
Promoção de compromisso e confiança
Valorização do ambiente escolar
Participação da comunidade e dos pais no trabalho de prevenção",,Sim,"entre 6 e 8 anos
entre 8 e 10 anos
entre 10 e 14 anos",Sim,Sim
