"","idade","sexo","escolaridade","estadocivil","ocupacao","religiao","contatoanterior","lidadiretamente","motivocurso","materialdidatico","prazoatividades","interacaopares","organizacaocurso","import.ajud.tutor","part.outrocurso","sumTime","nsessions","aprovado","meanTime"
"8","45","Feminino","Pós-graduação","Casado (a)","Professor (a)","Evangélica","Não","Sim","Identificação profissional com o tema","Adequado","Flexível","Muito importante","Muito organizado","Sempre","Não",45540,2,"Sim",379.5
"28","52","Feminino","Pós-graduação","Casado (a)","Professor (a)","Evangélica","Sim","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Muito flexível","Importante","Muito organizado","Sempre","Não",56520,5,"Não",188.4
"31","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",7680,3,"Não",42.6666666666667
"32","42","Masculino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Não","Para aquisição de conhecimento na área","Muito adequado","Flexível","Importante","Organizado","Às vezes","Sim",7680,3,"Não",42.6666666666667
"33","49","Masculino","Pós-graduação","União Estável","Professor (a)","Católica","Sim","Sim","Identificação profissional com o tema","Adequado","Flexível","Importante","Organizado","Sempre","Não",45720,4,"Sim",190.5
"45","19","Feminino","Pós-graduação","Casado (a)","Professor (a)","Evangélica","Sim","Sim","Identificação profissional com o tema","Muito adequado","Flexível","Pouquíssimo importante","Muito organizado","Sempre","Sim",64320,3,"Sim",357.333333333333
"46","49","Feminino","Pós-graduação","Casado (a)","Professor (a)","Evangélica","Sim","Sim","Identificação profissional com o tema","Muito adequado","Pouco flexível","Pouco importante","Muito organizado","Sempre","Sim",64320,3,"Sim",357.333333333333
"48","55","Masculino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Importante","Organizado","Sempre","Não",15240,3,"Sim",84.6666666666667
"56","49","Masculino","Ensino Superior Completo","Casado (a)","Professor (a)","Evangélica","Sim","Não","Para aquisição de conhecimento na área","Muito adequado","Pouco flexível","Muito importante","Organizado","Sempre","Sim",3420,4,"Não",14.25
"57","50","Masculino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Flexível","Pouquíssimo importante","Muito organizado","Às vezes","Sim",11940,8,"Não",24.875
"65","23","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Pouco flexível","Muito importante","Muito organizado","Sempre","Sim",29220,8,"Não",60.875
