pontosfrageis,pontosfortes,,
"1- Tamanho da área construída, 
dificuldade de manutenção e controle.

2- Falta de funcionários.

3- Invasão por parte de usuários,

principalmente nos espaços livres., como quadra esportiva.

4-. Presença do uso abusivo de drogas lícitas e ilícitas no ambiente familiar.

5- Relações conflituosas com a família.","1- Respeito mútuo e compromisso e cooperação entre os agentes educativos,

  2-Estímulo à prática de atividades escolares participativas, criativas e estimulantes.

 -3  Estímulo à prática de atividades escolares participativas, criativas e estimulantes.
  4-. Presença de afetividade e confiança no ambiente escolar.

  5-. Relação aberta, honesta, sem atitudes negativas, punitivas preconceituosas e excludentes.",3,PUD002-2014.1-A
"1-Autoestima baixa.
2-Relação com os colegas usuários de drogas dentro da escola.
3-Presença do uso ou abuso de drogas lícitas e ilícitas no ambiente escolar.
4-Presença de violência como estratégica para lidar com conflito.
5-Baixas expectativas e baixo investimento familiar.
6-Ausência de referência de autoridades e limites.
7-Falta de diálogo familiar. 
8-Proximidade da rede de distribuição de drogas com a escola.
9-Carência de afeto familiar.
10-Falta de vontade de crescer.","1-Fortes vínculos afetivos entre professores e alunos. 
2-Relação de respeito mútuo, compromisso e cooperação entre agentes educativos.
3-Relação de cooperação entre família e escola.
4-Promoção de práticas escolares participativas.
5-Presença de afetividade e confiança no ambiente escolar.
6-Definição comunicação e negociação de normas, regras e limites.
7-Abordagem reflexiva e pedagógica junto aos alunos.
8-Relações abertas, sem atitudes negativas e preconceito.
9-Promoção de atividades esportivas.
10-Relações harmoniosa com a família.",3,PUD002-2014.1-A
"-Falta de espaço físico,
-Falta de conhecimento de alguns profissionais,
- Abstenção de familiares quando convocados,
-Desinteresse pelo assunto por parte das famílias,-
-Interpretação errada por parte das famílias  sobre o tema,
-Visão de intromissão na vida particular dos mesmos, 
-Medo de se declarar como dependente ,usuário ou até mesmo traficante.","-Faz parte de nosso ppp,
-Maioria dos funcionários moram no bairro,
-Conhecem todas as famílias desde as primeiras gerações,
-Contamos com apoio de várias instituições que trabalham o tema.",3,PUD002-2014.1-A
"1- Comunidade carente
2-pais usuários de álcool ou outras drogas
3-usuários em torno da escola
4-trafico perto da escola
5-comunidade retraída","1-Conselho Tutelar
2- P.P.P.
3- Colegiado
4-Associação de bairro
5- profissionais da saúde
6-funcionários comprometidos com seu trabalho",3,PUD002-2014.1-A
"A evasão escolar.
Dificuldade em trazer alguns pais até a escola.
A atuação dos conselhos tutelares (nem sempre acontece no momento necessário).
O policiamento que deveria ser mais ostensivo no entorno da escola (principalmente nos momentos de entrada e saída escolar) 
O Ministério Público que esbarra nas leis que impedem a atuação imediata e a busca de soluções para o tráfico de drogas.","A preocupação dos professores com o comportamento dos alunos em sala de aula.
O trabalho intensivo da Orientação escolar, junto aos alunos e suas famílias. 
A presença do diretor na escola, desde a entrada dos alunos pelo portão até sua participação junto aos recreios e conversas com alunos e família.",3,PUD002-2014.1-A
"*Curiosidade dos adolescentes e jovens sobre o uso de drogas.
*Grupos de amigos que influencie o consumo de drogas.
*A preocupação quando percebe que a escola tem alunos usuários de droga. Preocupação com que os pais dos alunos e a comunidade vai falar sobre a escola isso pode gerar um certo desespero frente a situação.
* Não saber abordar os alunos que tentem usar drogas dentro da escola, muitas vezes por medo.","Buscar apoio em outros setores como por exemplo da saúde, a fim de alertar adolescente e jovens sobre os riscos do uso de drogas. Dando exemplos objetivos e diretos. Como uma pessoa que consome bebidas alcoólicas e depois dirige um carro. Fazer com que o aluno reflita sobre as situações de risco.
Tentar desvincular a felicidade ao consumismo e ao uso de drogas. Estimular os alunos a buscar atividades que também nos traz bem estar, sem necessariamente ter que pagar por isso. Essas atrações são atividades que estimulem o convívio com outras pessoas como atividades físicas, esportivas, artísticas, culturais, entre outras.",3,PUD002-2014.1-A
"Fatores de risco: pontos frágeis da minha escola
1-	Relações conflitantes na família, presença de violência para lidar com tais conflitos, ausência de limites e desrespeitos aos pais, rigidez ou muita permissividade nas negociações e regras familiares e baixo investimento familiar em relação ao futuro e projetos de vida saudável fora das ruas para o filho.

2- Falta de lazer na comunidade, domínio dos traficantes no bairro (grupos envolvidos com o tráfico de drogas), assentamentos e invasões nas proximidades da escola.

3- Relações de respeito entre educador e aluno, estímulo e motivação para atividades escolares, oportunidades concretas para a inserção profissional do adolescente no mercado de trabalho.

4- Relações com colegas usuários dentro e fora da escola, ausência de conhecimento e controle da escola sobre a prevenção de drogas, proximidade da rede de distribuição de drogas na escola e nas proximidades da mesma.

5- Isolamento e fechamento em si a ponto de não conseguir permanecer a nenhum grupo de amigos.","Fatores de proteção: pontos fortes da minha escola
1-	Relação harmoniosa com as famílias por meio de atividades que envolvam a participação da mesma como palestras, festividades comemorativas, reuniões de acolhimento, flexibilidade na negociação de regras, expectativas e investimento familiar em relação amigável na relação familiar.

2-	Grupo com ambiente de lazer saudável, sem uso de drogas.

3-	Grupos que ofereçam espaço ao adolescente para se manifestar, ser protagonista por meio de projetos voltados para temas com predominâncias e hábitos saudáveis, como cultura da paz e não à violência.

4-	Mobilização, conscientização do reconhecimento da realidade do consumo de drogas na escola, manter o ambiente escolar seguro e protetor, envolvimento de programas de saúde pela Secretaria da Saúde, Conselho Tutelar, Vara da Infância e Juventude, parceria com a Patrulha escolar.

5-	Fazer com que o adolescente se sinta pertencente a um grupo de amigos.",3,PUD002-2014.1-A
"O ambiente, o envolvimento dos familiares com a droga, a oferta de drogas, a fragilidade da psicológica comunidade e o desejo dos adolescentes de transporem os limites.","O desenvolvimento esportivo na escola, o diálogo com os alunos, a atenção dos profissionais envolvidos no processo, as atividades abordando o tema e os esclarecimentos dos efeitos e consequências de uso das drogas.",3,PUD002-2014.1-A
"- por não ser de ensino comum, mas atender somente pessoas com deficiência;
- Nem todos os professores são liberados para capacitação extra escola;
-Poucas oficinas para construção de  materiais pedagógicos;
- Maior flexibilização dos conteúdos para atender às diferenças;
- Trabalhar mais as  relações interpessoais entre alunos e professores.","- Diretor líder democrático;
- Bom relacionamento com a comunidade externa;
-Atendimento prioritário ao aluno e sua família;
- Há uma equipe multiprofissional;
- Corpo docente com formação superior",3,PUD002-2014.1-A
,,3,PUD002-2014.1-A
